2025-09-19 13:57:34 status unpacked dnsmasq:all 2.90-4~deb12u1
2025-09-19 13:57:34 status half-configured dnsmasq:all 2.90-4~deb12u1
2025-09-19 13:57:34 status installed dnsmasq:all 2.90-4~deb12u1
2025-09-19 13:57:34 configure perl:amd64 5.36.0-7+deb12u3 <none>
2025-09-19 13:57:34 status unpacked perl:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 status half-configured perl:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 status installed perl:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 configure libdata-dump-perl:all 1.25-1 <none>
2025-09-19 13:57:34 status unpacked libdata-dump-perl:all 1.25-1
2025-09-19 13:57:34 status half-configured libdata-dump-perl:all 1.25-1
2025-09-19 13:57:34 status installed libdata-dump-perl:all 1.25-1
2025-09-19 13:57:34 configure libencode-perl:amd64 3.19-1+b1 <none>
2025-09-19 13:57:34 status unpacked libencode-perl:amd64 3.19-1+b1
2025-09-19 13:57:34 status half-configured libencode-perl:amd64 3.19-1+b1
2025-09-19 13:57:34 status installed libencode-perl:amd64 3.19-1+b1
2025-09-19 13:57:34 configure libio-html-perl:all 1.004-3 <none>
2025-09-19 13:57:34 status unpacked libio-html-perl:all 1.004-3
2025-09-19 13:57:34 status half-configured libio-html-perl:all 1.004-3
2025-09-19 13:57:34 status installed libio-html-perl:all 1.004-3
2025-09-19 13:57:34 configure libtimedate-perl:all 2.3300-2 <none>
2025-09-19 13:57:34 status unpacked libtimedate-perl:all 2.3300-2
2025-09-19 13:57:34 status half-configured libtimedate-perl:all 2.3300-2
2025-09-19 13:57:34 status installed libtimedate-perl:all 2.3300-2
2025-09-19 13:57:34 configure libregexp-ipv6-perl:all 0.03-3 <none>
2025-09-19 13:57:34 status unpacked libregexp-ipv6-perl:all 0.03-3
2025-09-19 13:57:34 status half-configured libregexp-ipv6-perl:all 0.03-3
2025-09-19 13:57:34 status installed libregexp-ipv6-perl:all 0.03-3
2025-09-19 13:57:34 configure liburi-perl:all 5.17-1 <none>
2025-09-19 13:57:34 status unpacked liburi-perl:all 5.17-1
2025-09-19 13:57:34 status half-configured liburi-perl:all 5.17-1
2025-09-19 13:57:34 status installed liburi-perl:all 5.17-1
2025-09-19 13:57:34 configure libtext-csv-perl:all 2.02-2 <none>
2025-09-19 13:57:34 status unpacked libtext-csv-perl:all 2.02-2
2025-09-19 13:57:34 status half-configured libtext-csv-perl:all 2.02-2
2025-09-19 13:57:34 status installed libtext-csv-perl:all 2.02-2
2025-09-19 13:57:34 configure libnet-ssleay-perl:amd64 1.92-2+b1 <none>
2025-09-19 13:57:34 status unpacked libnet-ssleay-perl:amd64 1.92-2+b1
2025-09-19 13:57:34 status half-configured libnet-ssleay-perl:amd64 1.92-2+b1
2025-09-19 13:57:34 status installed libnet-ssleay-perl:amd64 1.92-2+b1
2025-09-19 13:57:34 configure libhttp-date-perl:all 6.05-2 <none>
2025-09-19 13:57:34 status unpacked libhttp-date-perl:all 6.05-2
2025-09-19 13:57:34 status half-configured libhttp-date-perl:all 6.05-2
2025-09-19 13:57:34 status installed libhttp-date-perl:all 6.05-2
2025-09-19 13:57:35 configure libfile-listing-perl:all 6.15-1 <none>
2025-09-19 13:57:35 status unpacked libfile-listing-perl:all 6.15-1
2025-09-19 13:57:35 status half-configured libfile-listing-perl:all 6.15-1
2025-09-19 13:57:35 status installed libfile-listing-perl:all 6.15-1
2025-09-19 13:57:35 configure libfont-afm-perl:all 1.20-4 <none>
2025-09-19 13:57:35 status unpacked libfont-afm-perl:all 1.20-4
2025-09-19 13:57:35 status half-configured libfont-afm-perl:all 1.20-4
2025-09-19 13:57:35 status installed libfont-afm-perl:all 1.20-4
2025-09-19 13:57:35 configure libclone-perl:amd64 0.46-1 <none>
